Variable:,pr
,"Tanzania, United Republic of",Arusha,Dar-es-salaam,Dodoma,Kigoma,Kilimanjaro,Lindi,Manyara,Mara,Mbeya,Morogoro,Mtwara,"Kaskazini Pemba","Kaskazini Unguja",Pwani,Ruvuma,Singida,"Kusini Pemba","Kusini Unguja",Tabora,Tanga,"Mjini Magharibi",Geita,Iringa,Kagera,Katavi,Mwanza,Njombe,Rukwa,Shinyanga,Simiyu
1948,919.63,529.26,1181.01,488.37,1010.46,886.85,1447.07,616.89,874.91,746.78,1259.22,1137.67,1260.90,1256.01,1322.23,1318.64,479.06,1260.90,1289.86,750.77,1142.85,1278.50,905.65,715.63,1093.49,845.40,942.83,1013.92,778.26,748.22,586.94
1949,738.48,552.27,675.45,455.63,1021.00,666.74,1057.17,555.69,766.40,595.81,798.73,912.50,813.30,751.56,815.09,895.63,476.77,813.30,746.86,645.44,747.07,733.30,807.94,549.27,970.54,819.03,781.00,725.21,771.93,645.27,566.26
1950,1020.51,772.56,1054.57,602.61,1169.39,1018.72,1481.84,831.35,893.91,862.81,1229.92,1291.37,1099.50,1101.30,1243.93,1401.65,675.83,1099.50,1138.91,941.05,1070.71,1126.70,1025.83,784.06,1154.38,977.67,979.94,1183.97,876.23,891.51,722.61
1951,1240.01,1027.31,1224.37,810.82,1361.60,1446.20,1513.78,1045.82,1304.41,924.42,1431.62,1204.72,1481.20,1444.08,1377.89,1433.88,954.04,1481.20,1454.37,1334.88,1339.20,1438.10,1407.53,925.84,1563.82,1284.08,1393.08,1174.95,1084.72,1309.05,1065.97
1952,930.83,607.62,772.21,536.70,1062.86,745.60,1467.09,638.57,969.65,760.18,1171.02,1265.92,793.50,786.13,931.99,1334.09,538.17,793.50,791.65,813.92,853.56,780.90,970.78,731.87,1079.55,963.82,983.04,1012.99,931.85,835.92,671.15
1953,900.96,518.19,1153.17,523.01,1153.60,901.45,1234.34,630.63,857.41,676.29,1114.38,1032.93,1336.60,1302.10,1205.42,1128.19,532.29,1336.60,1337.22,856.95,1163.29,1321.60,995.32,685.37,1200.05,945.04,941.81,903.44,812.70,817.42,593.82
1954,857.97,644.43,1001.91,463.11,1043.29,866.83,1235.11,620.90,971.00,667.16,1020.16,1027.85,941.60,1004.48,1149.63,1047.60,505.21,941.60,1026.24,770.81,861.95,1015.10,919.58,635.41,1141.88,899.86,939.23,875.98,799.70,752.61,614.23
1955,987.76,672.80,1104.25,539.99,1115.61,977.13,1606.76,713.99,990.36,798.88,1243.02,1276.90,1133.20,1189.27,1271.83,1283.32,566.55,1133.20,1197.07,847.88,1039.11,1180.80,990.07,734.29,1209.88,999.13,985.04,1051.75,914.96,819.89,651.17
1956,1030.11,552.17,964.18,629.96,1027.79,742.97,1724.47,616.76,967.27,930.63,1358.36,1516.42,1000.40,968.39,1205.36,1593.74,618.58,1000.40,1012.51,820.42,913.71,1002.50,924.47,884.66,1166.46,995.10,940.59,1242.78,1137.68,796.15,639.54
1957,1117.98,912.06,1436.22,765.43,1181.25,1295.47,1599.71,1002.92,1057.35,872.64,1469.37,1224.93,1481.50,1523.26,1594.25,1339.17,724.61,1481.50,1582.75,919.34,1413.80,1566.00,1027.51,918.91,1313.19,1035.40,1032.18,1095.96,1050.62,873.99,798.59
1958,921.05,706.91,868.16,648.35,982.32,911.76,1339.66,703.24,956.03,725.44,1186.97,1154.48,1034.80,977.86,1063.65,1173.56,633.67,1034.80,993.37,793.11,948.02,980.10,871.58,837.16,1116.69,911.71,914.41,854.45,855.15,779.60,667.94
