ISO3,Country,Region,Service Type,Year,Coverage,Service level
TZA,United Republic of Tanzania,Tanga,Drinking water,2010,35.52529,At least basic
TZA,United Republic of Tanzania,Tanga,Drinking water,2010,4.23081,Limited service
TZA,United Republic of Tanzania,Tanga,Drinking water,2010,26.52668,Unimproved
TZA,United Republic of Tanzania,Tanga,Sanitation,2010,11.37018,Open defecation
TZA,United Republic of Tanzania,Tanga,Sanitation,2010,69.6982,Unimproved
TZA,United Republic of Tanzania,Tanga,Sanitation,2010,9.25725,Limited service
TZA,United Republic of Tanzania,Tanga,Drinking water,2010,33.71722,Surface water
TZA,United Republic of Tanzania,Tanga,Sanitation,2010,9.67436,At least basic
TZA,United Republic of Tanzania,Town West,Drinking water,2010,11.68454,Limited service
TZA,United Republic of Tanzania,Town West,Drinking water,2010,79.7005,At least basic
TZA,United Republic of Tanzania,Town West,Sanitation,2010,76.60997,At least basic
TZA,United Republic of Tanzania,Town West,Drinking water,2010,0,Surface water
TZA,United Republic of Tanzania,Town West,Sanitation,2010,14.48493,Unimproved
TZA,United Republic of Tanzania,Town West,Sanitation,2010,0.28398,Open defecation
TZA,United Republic of Tanzania,Town West,Drinking water,2010,8.61496,Unimproved
TZA,United Republic of Tanzania,Town West,Sanitation,2010,8.62112,Limited service
TZA,United Republic of Tanzania,Zanzibar North,Drinking water,2010,26.83881,Unimproved
TZA,United Republic of Tanzania,Zanzibar North,Sanitation,2010,7.95173,Limited service
TZA,United Republic of Tanzania,Zanzibar North,Sanitation,2010,22.2548,Open defecation
TZA,United Republic of Tanzania,Zanzibar North,Drinking water,2010,0.11534,Surface water
TZA,United Republic of Tanzania,Zanzibar North,Sanitation,2010,20.96437,Unimproved
TZA,United Republic of Tanzania,Zanzibar North,Sanitation,2010,48.8291,At least basic
TZA,United Republic of Tanzania,Zanzibar North,Drinking water,2010,59.24074,At least basic
TZA,United Republic of Tanzania,Zanzibar North,Drinking water,2010,13.80511,Limited service
TZA,United Republic of Tanzania,Zanzibar South,Sanitation,2010,9.40304,Open defecation
TZA,United Republic of Tanzania,Zanzibar South,Sanitation,2010,5.30902,Limited service
TZA,United Republic of Tanzania,Zanzibar South,Drinking water,2010,65.95217,At least basic
TZA,United Republic of Tanzania,Zanzibar South,Drinking water,2010,31.96127,Unimproved
TZA,United Republic of Tanzania,Zanzibar South,Drinking water,2010,0.32549,Surface water
TZA,United Republic of Tanzania,Zanzibar South,Sanitation,2010,68.17097,At least basic
TZA,United Republic of Tanzania,Zanzibar South,Sanitation,2010,17.11697,Unimproved
TZA,United Republic of Tanzania,Zanzibar South,Drinking water,2010,1.76108,Limited service
TZA,United Republic of Tanzania,Arusha,Sanitation,2012,29.1903,Open defecation
TZA,United Republic of Tanzania,Arusha,Sanitation,2012,50.95789,Unimproved
TZA,United Republic of Tanzania,Arusha,Drinking water,2012,54.65171,At least basic
TZA,United Republic of Tanzania,Arusha,Drinking water,2012,12.23291,Surface water
TZA,United Republic of Tanzania,Arusha,Drinking water,2012,14.61535,Limited service
TZA,United Republic of Tanzania,Arusha,Drinking water,2012,18.50003,Unimproved
TZA,United Republic of Tanzania,Arusha,Sanitation,2012,12.36102,At least basic
TZA,United Republic of Tanzania,Arusha,Sanitation,2012,7.49078,Limited service
TZA,United Republic of Tanzania,Dar Es Salaam,Sanitation,2012,40.25087,Limited service
TZA,United Republic of Tanzania,Dar Es Salaam,Sanitation,2012,22.97055,Unimproved
TZA,United Republic of Tanzania,Dar Es Salaam,Drinking water,2012,94.52692,At least basic
TZA,United Republic of Tanzania,Dar Es Salaam,Drinking water,2012,1.05136,Limited service
TZA,United Republic of Tanzania,Dar Es Salaam,Drinking water,2012,0,Surface water
TZA,United Republic of Tanzania,Dar Es Salaam,Sanitation,2012,0.36221,Open defecation
TZA,United Republic of Tanzania,Dar Es Salaam,Sanitation,2012,36.41636,At least basic
